Name	Abbr	WICHE	NEBHE	MHEC	SREB	Region	Division
Alaska	AK	WICHE				West	Pacific
Alabama	AL				SREB	South	East South Central
Arkansas	AR				SREB	South	West South Central
Arizona	AZ	WICHE				West	Mountain
California	CA	WICHE				West	Pacific
Colorado	CO	WICHE				West	Mountain
Connecticut	CT		NEBHE			Northeast	New England
District of Columbia	DC					South	South Atlantic
Delaware	DE				SREB	South	South Atlantic
Florida	FL				SREB	South	South Atlantic
Georgia	GA				SREB	South	South Atlantic
Hawaii	HI	WICHE				West	Pacific
Iowa	IA			MHEC		Midwest	West North Central
Idaho	ID	WICHE				West	Mountain
Illinois	IL			MHEC		Midwest	East North Central
Indiana	IN			MHEC		Midwest	East North Central
Kansas	KS			MHEC		Midwest	West North Central
Kentucky	KY				SREB	South	East South Central
Louisiana	LA				SREB	South	West South Central
Massachusetts	MA		NEBHE			Northeast	New England
Maryland	MD				SREB	South	South Atlantic
Maine	ME		NEBHE			Northeast	New England
Michigan	MI			MHEC		Midwest	East North Central
Minnesota	MN			MHEC		Midwest	West North Central
Missouri	MO			MHEC		Midwest	West North Central
Mississippi	MS				SREB	South	East South Central
Montana	MT	WICHE				West	Mountain
North Carolina	NC				SREB	South	South Atlantic
North Dakota	ND	WICHE		MHEC		Midwest	West North Central
Nebraska	NE			MHEC		Midwest	West North Central
New Hampshire	NH		NEBHE			Northeast	New England
New Jersey	NJ					Northeast	Mid-Atlantic
New Mexico	NM	WICHE				West	Mountain
Nevada	NV	WICHE				West	Mountain
New York	NY					Northeast	Mid-Atlantic
Ohio	OH			MHEC		Midwest	East North Central
Oklahoma	OK				SREB	South	West South Central
Oregon	OR	WICHE				West	Pacific
Pennsylvania	PA					Northeast	Mid-Atlantic
Puerto Rico	PR						
Rhode Island	RI		NEBHE			Northeast	New England
South Carolina	SC				SREB	South	South Atlantic
South Dakota	SD	WICHE		MHEC		Midwest	West North Central
Tennessee	TN				SREB	South	East South Central
Texas	TX				SREB	South	West South Central
Utah	UT	WICHE				West	Mountain
Virginia	VA				SREB	South	South Atlantic
Vermont	VT		NEBHE			Northeast	New England
Washington	WA	WICHE				West	Pacific
Wisconsin	WI			MHEC		Midwest	East North Central
West Virginia	WV				SREB	South	South Atlantic
Wyoming	WY	WICHE				West	Mountain
