ISBN13	Material		

Title	Material		

Author	Material		

Publisher	Material		

Imprint	Material		

Edition	Material	Drop	

PublishedYear	Material	Drop	

Book Status	Material		

Format	Material		

FormatType	Material		

IPED ID	Institution	Required	MasterMailing

School	Institution		MasterMailing

SchoolYearType	Institution	Drop	

State	Institution	Drop	MasterMailing

Dept Code	Course	Drop	

Department	Course		MasterMailing

Dept Description	Course		

Course Number	Course		

Section	Course		

Course Title	Course		

Course Level	Course		MasterMailing

Course Subject	Course		MasterMailing

Period	Course	Required	MasterMailing

Enrollment	Course		

Seats Taken	Course		

Instructor	Faculty		MasterMailing

FirstName	Faculty	Required	MasterMailing

LastName	Faculty	Required	MasterMailing

E-Mail	Faculty	Required	MasterMailing
