relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
course_catalog_20251215	table	1	ISBN13	bigint	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `ISBN13`; direct CSV import; configured null tokens become NULL.	9780000000002	Book or material identifier used for cross-source matching.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	2	Title	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Title`; direct CSV import; configured null tokens become NULL.	Introduction to Biology	Title supplied for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	3	Author	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Author`; direct CSV import; configured null tokens become NULL.	A. Example	Author credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	4	Publisher	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Publisher`; direct CSV import; configured null tokens become NULL.	Example Press	Publisher credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	5	Imprint	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Imprint`; direct CSV import; configured null tokens become NULL.	Example Academic	Publishing imprint named for the adopted material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	6	Format	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Format`; direct CSV import; configured null tokens become NULL.	digital	Material format supplied by the catalog source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	7	FormatType	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `FormatType`; direct CSV import; configured null tokens become NULL.	Book	Catalog classification label for the material format.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	8	book_status	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Book Status`; lowercase + trim.	required	Adoption priority assigned to the course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	9	unit_id	bigint	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `IPED ID`; direct CSV import; configured null tokens become NULL.	1001	IPEDS institution identifier used throughout the pipeline.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	10	school	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `School`; direct CSV import; configured null tokens become NULL.	Example University	Institution or school name attached to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	11	state	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `State`; direct CSV import; configured null tokens become NULL.	CA	State or province code for the institution.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	12	dept_code	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Dept Code`; direct CSV import; configured null tokens become NULL.	BIO	Short code identifying the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	13	department	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Department`; direct CSV import; configured null tokens become NULL.	Biology	Academic department responsible for the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	14	dept_description	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Dept Description`; direct CSV import; configured null tokens become NULL.	Biology	Expanded description of the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	15	course_number	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Course Number`; direct CSV import; configured null tokens become NULL.	101	Catalog number identifying the course within its department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	16	section	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Section`; direct CSV import; configured null tokens become NULL.	001	Source code distinguishing sections of the same course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	17	course_title	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Course Title`; direct CSV import; configured null tokens become NULL.	Introduction to Biology	Official title assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	18	course_level	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Course Level`; direct CSV import; configured null tokens become NULL.	Introductory or general undergraduate	Instructional level assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	19	course_subject	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Course Subject`; direct CSV import; configured null tokens become NULL.	BIO	Subject area assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	20	period	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Period`; direct CSV import; configured null tokens become NULL.	Fall 2025	Human-readable academic term label from the source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	21	enrollments	integer	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Enrollments`; TRY_CAST to INTEGER.	42	Enrollment reported directly for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	22	seats_taken	integer	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Seats Taken`; TRY_CAST to INTEGER.	42	Occupied seats reported for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	23	instructor	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `Instructor`; direct CSV import; configured null tokens become NULL.	A. Example	Instructor name attached to the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
course_catalog_20251215	table	24	first_name	varchar	BMG DiscoveryExtract.20251215.csv	BMG Discovery Extract field `FirstName`; direct CSV import; configured null tokens become NULL.	A. Example	Given name of the course instructor.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
