relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
comprehensive_data	table	1	ISBN13	bigint	course_catalog_20251215	`course_catalog_20251215.ISBN13` passthrough.	9780000000002	Book or material identifier used for cross-source matching.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	2	Title	varchar	course_catalog_20251215	`course_catalog_20251215.Title` passthrough.	Introduction to Biology	Title supplied for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	3	Author	varchar	course_catalog_20251215	`course_catalog_20251215.Author` passthrough.	A. Example	Author credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	4	Publisher	varchar	course_catalog_20251215	`course_catalog_20251215.Publisher` passthrough.	Example Press	Publisher credited for the adopted course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	5	Imprint	varchar	course_catalog_20251215	`course_catalog_20251215.Imprint` passthrough.	Example Academic	Publishing imprint named for the adopted material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	6	Format	varchar	course_catalog_20251215	`course_catalog_20251215.Format` passthrough.	digital	Material format supplied by the catalog source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	7	FormatType	varchar	course_catalog_20251215	`course_catalog_20251215.FormatType` passthrough.	Book	Catalog classification label for the material format.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	8	book_status	varchar	course_catalog_20251215	`course_catalog_20251215.book_status` passthrough.	required	Adoption priority assigned to the course material.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	9	unit_id	bigint	course_catalog_20251215	`course_catalog_20251215.unit_id` passthrough.	1001	IPEDS institution identifier used throughout the pipeline.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	10	school	varchar	course_catalog_20251215	`course_catalog_20251215.school` passthrough.	Example University	Institution or school name attached to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	11	state	varchar	course_catalog_20251215	`course_catalog_20251215.state` passthrough.	CA	State or province code for the institution.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	12	dept_code	varchar	course_catalog_20251215	`course_catalog_20251215.dept_code` passthrough.	BIO	Short code identifying the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	13	department	varchar	course_catalog_20251215	`course_catalog_20251215.department` passthrough.	Biology	Academic department responsible for the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	14	dept_description	varchar	course_catalog_20251215	`course_catalog_20251215.dept_description` passthrough.	Biology	Expanded description of the academic department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	15	course_number	varchar	course_catalog_20251215	`course_catalog_20251215.course_number` passthrough.	101	Catalog number identifying the course within its department.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	16	section	varchar	course_catalog_20251215	`course_catalog_20251215.section` passthrough.	001	Source code distinguishing sections of the same course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	17	course_title	varchar	course_catalog_20251215	`course_catalog_20251215.course_title` passthrough.	Introduction to Biology	Official title assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	18	course_level	varchar	course_catalog_20251215	`course_catalog_20251215.course_level` passthrough.	Introductory or general undergraduate	Instructional level assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	19	course_subject	varchar	course_catalog_20251215	`course_catalog_20251215.course_subject` passthrough.	BIO	Subject area assigned to the course.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	20	period	varchar	course_catalog_20251215	`course_catalog_20251215.period` passthrough.	Fall 2025	Human-readable academic term label from the source.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	21	enrollments	integer	course_catalog_20251215	`course_catalog_20251215.enrollments` passthrough.	42	Enrollment reported directly for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	22	seats_taken	integer	course_catalog_20251215	`course_catalog_20251215.seats_taken` passthrough.	42	Occupied seats reported for the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
comprehensive_data	table	23	instructor	varchar	course_catalog_20251215	`course_catalog_20251215.instructor` passthrough.	A. Example	Instructor name attached to the course section.	External field absent, blank, a configured null token, or failed TRY_CAST where applicable.
