relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
course_material	table	1	isbn13	bigint	comprehensive_data	`comprehensive_data.ISBN13` group key and cast to BIGINT.	9780000000002	Book or material identifier used for cross-source matching.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material	table	2	book_title	varchar	comprehensive_data	Representative `comprehensive_data.Title` from grouped rows.	Introduction to Biology	Canonical title selected for the grouped ISBN.	The selected representative row has no value; another grouped row may have one.
course_material	table	3	author	varchar	comprehensive_data	Representative `comprehensive_data.Author` from grouped rows.	A. Example	Author credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material	table	4	publisher	varchar	comprehensive_data	Representative `comprehensive_data.Publisher` from grouped rows.	Example Press	Publisher credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material	table	5	imprint	varchar	comprehensive_data	Representative `comprehensive_data.Imprint` from grouped rows.	Example Academic	Publishing imprint named for the adopted material.	The selected representative row has no value; another grouped row may have one.
course_material	table	6	book_format	varchar	comprehensive_data	Representative `comprehensive_data.Format` from grouped rows.	physical	Physical or digital format of the material.	The selected representative row has no value; another grouped row may have one.
course_material	table	7	format_type	varchar	comprehensive_data	Representative `comprehensive_data.FormatType` from grouped rows.	Book	Catalog classification label for the material format.	The selected representative row has no value; another grouped row may have one.
course_material	table	8	book_status	varchar	comprehensive_data	Representative `comprehensive_data.book_status` from grouped rows.	required	Adoption priority assigned to the course material.	The selected representative row has no value; another grouped row may have one.
course_material	table	9	isbn_book_title	varchar	comprehensive_data	Lexical `MIN(NULLIF(TRIM(Title),''))` across Use catalog rows for `(period_sortable, isbn13)`.	Introduction to Biology	Canonical title selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material	table	10	isbn_author	varchar	comprehensive_data	Lexical `MIN(NULLIF(TRIM(Author),''))` across Use catalog rows for `(period_sortable, isbn13)`.	A. Example	Canonical author selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material	table	11	isbn_publisher	varchar	comprehensive_data	Lexical `MIN(NULLIF(TRIM(Publisher),''))` across Use catalog rows for `(period_sortable, isbn13)`.	Example Press	Canonical publisher selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material	table	12	isbn_title_variant_count	bigint	comprehensive_data	Distinct nonmissing `title` variants across all catalog rows for `(period_sortable, isbn13)`.	42	Distinct ISBN title variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
