relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
course_material_recent	view	1	isbn13	bigint	course_material	Inherited `course_material.isbn13` via `SELECT *`.	9780000000002	Book or material identifier used for cross-source matching.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material_recent	view	2	book_title	varchar	course_material	Inherited `course_material.book_title` via `SELECT *`.	Introduction to Biology	Canonical title selected for the grouped ISBN.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	3	author	varchar	course_material	Inherited `course_material.author` via `SELECT *`.	A. Example	Author credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	4	publisher	varchar	course_material	Inherited `course_material.publisher` via `SELECT *`.	Example Press	Publisher credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	5	imprint	varchar	course_material	Inherited `course_material.imprint` via `SELECT *`.	Example Academic	Publishing imprint named for the adopted material.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	6	book_format	varchar	course_material	Inherited `course_material.book_format` via `SELECT *`.	physical	Physical or digital format of the material.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	7	format_type	varchar	course_material	Inherited `course_material.format_type` via `SELECT *`.	Book	Catalog classification label for the material format.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	8	book_status	varchar	course_material	Inherited `course_material.book_status` via `SELECT *`.	required	Adoption priority assigned to the course material.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	9	isbn_book_title	varchar	course_material	Inherited `course_material.isbn_book_title` via `SELECT *`.	Introduction to Biology	Canonical title selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_recent	view	10	isbn_author	varchar	course_material	Inherited `course_material.isbn_author` via `SELECT *`.	A. Example	Canonical author selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_recent	view	11	isbn_publisher	varchar	course_material	Inherited `course_material.isbn_publisher` via `SELECT *`.	Example Press	Canonical publisher selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_recent	view	12	isbn_title_variant_count	bigint	course_material	Inherited `course_material.isbn_title_variant_count` via `SELECT *`.	42	Distinct ISBN title variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_recent	view	13	isbn_author_variant_count	bigint	course_material	Inherited `course_material.isbn_author_variant_count` via `SELECT *`.	42	Distinct ISBN author variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_recent	view	14	isbn_publisher_variant_count	bigint	course_material	Inherited `course_material.isbn_publisher_variant_count` via `SELECT *`.	42	Distinct ISBN publisher variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_recent	view	15	unit_id	bigint	course_material	Inherited `course_material.unit_id` via `SELECT *`.	1001	IPEDS institution identifier used throughout the pipeline.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	16	school	varchar	course_material	Inherited `course_material.school` via `SELECT *`.	Example University	Institution or school name attached to the course.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	17	state	varchar	course_material	Inherited `course_material.state` via `SELECT *`.	CA	State or province code for the institution.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	18	dept_code	varchar	course_material	Inherited `course_material.dept_code` via `SELECT *`.	BIO	Short code identifying the academic department.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	19	department	varchar	course_material	Inherited `course_material.department` via `SELECT *`.	Biology	Academic department responsible for the course.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	20	dept_description	varchar	course_material	Inherited `course_material.dept_description` via `SELECT *`.	Biology	Expanded description of the academic department.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	21	course_number	varchar	course_material	Inherited `course_material.course_number` via `SELECT *`.	101	Catalog number identifying the course within its department.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	22	section	varchar	course_material	Inherited `course_material.section` via `SELECT *`.	001	Source code distinguishing sections of the same course.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	23	course_title	varchar	course_material	Inherited `course_material.course_title` via `SELECT *`.	Introduction to Biology	Official title assigned to the course.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	24	course_level	varchar	course_material	Inherited `course_material.course_level` via `SELECT *`.	Introductory or general undergraduate	Instructional level assigned to the course.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	25	course_subject	varchar	course_material	Inherited `course_material.course_subject` via `SELECT *`.	BIO	Subject area assigned to the course.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	26	period	varchar	course_material	Inherited `course_material.period` via `SELECT *`.	Fall 2025	Human-readable academic term label from the source.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	27	enrollments	integer	course_material	Inherited `course_material.enrollments` via `SELECT *`.	42	Enrollment reported directly for the course section.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	28	seats_taken	integer	course_material	Inherited `course_material.seats_taken` via `SELECT *`.	42	Occupied seats reported for the course section.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	29	instructor	varchar	course_material	Inherited `course_material.instructor` via `SELECT *`.	A. Example	Instructor name attached to the course section.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	30	first_name	varchar	course_material	Inherited `course_material.first_name` via `SELECT *`.	A. Example	Given name of the course instructor.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	31	last_name	varchar	course_material	Inherited `course_material.last_name` via `SELECT *`.	A. Example	Family name of the course instructor.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	32	email	varchar	course_material	Inherited `course_material.email` via `SELECT *`.	instructor@example.edu	Normalized instructor email used for contact and matching.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	33	course_id	varchar	course_material	Inherited `course_material.course_id` via `SELECT *`.	1001::BIO::101	Stable identifier for the institution-level course offering.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	34	section_id	varchar	course_material	Inherited `course_material.section_id` via `SELECT *`.	1001::BIO::101::001::2025-4	Period-specific identifier for the distinct section offering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material_recent	view	35	period_sortable	varchar	course_material	Inherited `course_material.period_sortable` via `SELECT *`.	2025-4	Sortable academic term code used for chronological ordering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material_recent	view	36	period_date	date	course_material	Inherited `course_material.period_date` via `SELECT *`.	2025-10-01	Canonical starting date assigned to the academic term.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	37	is_oer	boolean	course_material	Inherited `course_material.is_oer` via `SELECT *`.	TRUE	Whether the material is an open educational resource.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	38	oer_category	varchar	course_material	Inherited `course_material.oer_category` via `SELECT *`.	unknown	Open-resource category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	39	is_ia	boolean	course_material	Inherited `course_material.is_ia` via `SELECT *`.	TRUE	Whether the material uses inclusive access.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	40	ia_category	varchar	course_material	Inherited `course_material.ia_category` via `SELECT *`.	unknown	Inclusive-access category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	41	is_supply	boolean	course_material	Inherited `course_material.is_supply` via `SELECT *`.	TRUE	Whether the material is classified as a course supply.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	42	supply_category	varchar	course_material	Inherited `course_material.supply_category` via `SELECT *`.	science_lab	Supply classification assigned from matched title keywords.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	43	institution_name	varchar	course_material	Inherited `course_material.institution_name` via `SELECT *`.	Example University	Canonical institution name supplied by IPEDS.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	44	sector	varchar	course_material	Inherited `course_material.sector` via `SELECT *`.	unknown	IPEDS sector classification for the institution.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	45	level	varchar	course_material	Inherited `course_material.level` via `SELECT *`.	unknown	IPEDS award-level classification for the institution.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	46	control	varchar	course_material	Inherited `course_material.control` via `SELECT *`.	unknown	Institution ownership and governance classification used for reporting.	Neither the section-canonical value nor representative source row has a value.
course_material_recent	view	47	size	varchar	course_material	Inherited `course_material.size` via `SELECT *`.	unknown	IPEDS institutional enrollment-size classification used for reporting.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	48	enrollment_2024	integer	course_material	Inherited `course_material.enrollment_2024` via `SELECT *`.	42	Total institutional enrollment reported to IPEDS for 2024.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	49	distance_enrollment_2024	integer	course_material	Inherited `course_material.distance_enrollment_2024` via `SELECT *`.	42	IPEDS 2024 students enrolled in distance education.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	50	institution_type	varchar	course_material	Inherited `course_material.institution_type` via `SELECT *`.	unknown	Derived institution type used for reporting groups.	The selected representative row has no value; another grouped row may have one.
course_material_recent	view	51	is_required_inferred	boolean	course_material	Inherited `course_material.is_required_inferred` via `SELECT *`.	TRUE	Whether the material is treated as required after fallback.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	52	is_recent	boolean	course_material	Inherited `course_material.is_recent` via `SELECT *`.	TRUE	Whether the term belongs to the newest catalog window.	Never NULL; the view requires `is_recent` to be true.
course_material_recent	view	53	has_isbn	boolean	course_material	Inherited `course_material.has_isbn` via `SELECT *`.	TRUE	Whether the material has a non-NULL ISBN.	Never NULL; false identifies the NULL-ISBN audit group.
course_material_recent	view	54	has_formattype	boolean	course_material	Inherited `course_material.has_formattype` via `SELECT *`.	TRUE	Whether the material has a nonblank FormatType classification.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	55	has_enrollment	boolean	course_material	Inherited `course_material.has_enrollment` via `SELECT *`.	TRUE	Whether usable enrollment information is available.	Never NULL; false means neither section-canonical nor source-row evidence qualifies.
course_material_recent	view	56	has_enrollment_own_seats	boolean	course_material	Inherited `course_material.has_enrollment_own_seats` via `SELECT *`.	TRUE	Whether the section reports usable occupied seats.	Never NULL; false means neither section-canonical nor source-row evidence qualifies.
course_material_recent	view	57	no_details	boolean	course_material	Inherited `course_material.no_details` via `SELECT *`.	TRUE	Whether the title carries the no-details placeholder.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	58	no_materials	boolean	course_material	Inherited `course_material.no_materials` via `SELECT *`.	TRUE	Whether the row explicitly indicates no course materials.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	59	is_canada	boolean	course_material	Inherited `course_material.is_canada` via `SELECT *`.	TRUE	Whether the source row belongs to Canada.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_recent	view	60	is_course_material_use	boolean	course_material	Inherited `course_material.is_course_material_use` via `SELECT *`.	TRUE	Whether the material belongs to the analysis population.	Never NULL; false means no grouped raw row is in Use.
course_material_recent	view	61	is_course_material_no_use	boolean	course_material	Inherited `course_material.is_course_material_no_use` via `SELECT *`.	TRUE	Whether the material belongs to the excluded population.	Never NULL; false includes outside-window groups and Use groups.
course_material_recent	view	62	has_enrollment_sibling	boolean	course_material	Inherited `course_material.has_enrollment_sibling` via `SELECT *`.	TRUE	Whether a sibling section reports enrollment.	Never NULL in the recent-period view; false means no qualifying section evidence.
course_material_recent	view	63	has_enrollment_sibling_seats	boolean	course_material	Inherited `course_material.has_enrollment_sibling_seats` via `SELECT *`.	TRUE	Whether a sibling section reports usable occupied seats.	Never NULL in the recent-period view; false means no qualifying section evidence.
course_material_recent	view	64	enrollment_assigned	integer	course_material	Inherited `course_material.enrollment_assigned` via `SELECT *`.	42	Best available section enrollment from the assignment ladder.	NULL outside the recent window or when no assignment rung succeeds.
