relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
course_material_use	view	1	isbn13	bigint	course_material_recent	Inherited `course_material_recent.isbn13` via `SELECT *`.	9780000000002	Book or material identifier used for cross-source matching.	Never NULL; every retained source Use row requires an ISBN.
course_material_use	view	2	book_title	varchar	course_material_recent	Inherited `course_material_recent.book_title` via `SELECT *`.	Introduction to Biology	Canonical title selected for the grouped ISBN.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	3	author	varchar	course_material_recent	Inherited `course_material_recent.author` via `SELECT *`.	A. Example	Author credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	4	publisher	varchar	course_material_recent	Inherited `course_material_recent.publisher` via `SELECT *`.	Example Press	Publisher credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	5	imprint	varchar	course_material_recent	Inherited `course_material_recent.imprint` via `SELECT *`.	Example Academic	Publishing imprint named for the adopted material.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	6	book_format	varchar	course_material_recent	Inherited `course_material_recent.book_format` via `SELECT *`.	physical	Physical or digital format of the material.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	7	format_type	varchar	course_material_recent	Inherited `course_material_recent.format_type` via `SELECT *`.	Book	Catalog classification label for the material format.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	8	book_status	varchar	course_material_recent	Inherited `course_material_recent.book_status` via `SELECT *`.	required	Adoption priority assigned to the course material.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	9	isbn_book_title	varchar	course_material_recent	Inherited `course_material_recent.isbn_book_title` via `SELECT *`.	Introduction to Biology	Canonical title selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_use	view	10	isbn_author	varchar	course_material_recent	Inherited `course_material_recent.isbn_author` via `SELECT *`.	A. Example	Canonical author selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_use	view	11	isbn_publisher	varchar	course_material_recent	Inherited `course_material_recent.isbn_publisher` via `SELECT *`.	Example Press	Canonical publisher selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
course_material_use	view	12	isbn_title_variant_count	bigint	course_material_recent	Inherited `course_material_recent.isbn_title_variant_count` via `SELECT *`.	42	Distinct ISBN title variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_use	view	13	isbn_author_variant_count	bigint	course_material_recent	Inherited `course_material_recent.isbn_author_variant_count` via `SELECT *`.	42	Distinct ISBN author variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_use	view	14	isbn_publisher_variant_count	bigint	course_material_recent	Inherited `course_material_recent.isbn_publisher_variant_count` via `SELECT *`.	42	Distinct ISBN publisher variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
course_material_use	view	15	unit_id	bigint	course_material_recent	Inherited `course_material_recent.unit_id` via `SELECT *`.	1001	IPEDS institution identifier used throughout the pipeline.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	16	school	varchar	course_material_recent	Inherited `course_material_recent.school` via `SELECT *`.	Example University	Institution or school name attached to the course.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	17	state	varchar	course_material_recent	Inherited `course_material_recent.state` via `SELECT *`.	CA	State or province code for the institution.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	18	dept_code	varchar	course_material_recent	Inherited `course_material_recent.dept_code` via `SELECT *`.	BIO	Short code identifying the academic department.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	19	department	varchar	course_material_recent	Inherited `course_material_recent.department` via `SELECT *`.	Biology	Academic department responsible for the course.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	20	dept_description	varchar	course_material_recent	Inherited `course_material_recent.dept_description` via `SELECT *`.	Biology	Expanded description of the academic department.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	21	course_number	varchar	course_material_recent	Inherited `course_material_recent.course_number` via `SELECT *`.	101	Catalog number identifying the course within its department.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	22	section	varchar	course_material_recent	Inherited `course_material_recent.section` via `SELECT *`.	001	Source code distinguishing sections of the same course.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	23	course_title	varchar	course_material_recent	Inherited `course_material_recent.course_title` via `SELECT *`.	Introduction to Biology	Official title assigned to the course.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	24	course_level	varchar	course_material_recent	Inherited `course_material_recent.course_level` via `SELECT *`.	Introductory or general undergraduate	Instructional level assigned to the course.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	25	course_subject	varchar	course_material_recent	Inherited `course_material_recent.course_subject` via `SELECT *`.	BIO	Subject area assigned to the course.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	26	period	varchar	course_material_recent	Inherited `course_material_recent.period` via `SELECT *`.	Fall 2025	Human-readable academic term label from the source.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	27	enrollments	integer	course_material_recent	Inherited `course_material_recent.enrollments` via `SELECT *`.	42	Enrollment reported directly for the course section.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	28	seats_taken	integer	course_material_recent	Inherited `course_material_recent.seats_taken` via `SELECT *`.	42	Occupied seats reported for the course section.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	29	instructor	varchar	course_material_recent	Inherited `course_material_recent.instructor` via `SELECT *`.	A. Example	Instructor name attached to the course section.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	30	first_name	varchar	course_material_recent	Inherited `course_material_recent.first_name` via `SELECT *`.	A. Example	Given name of the course instructor.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	31	last_name	varchar	course_material_recent	Inherited `course_material_recent.last_name` via `SELECT *`.	A. Example	Family name of the course instructor.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	32	email	varchar	course_material_recent	Inherited `course_material_recent.email` via `SELECT *`.	instructor@example.edu	Normalized instructor email used for contact and matching.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	33	course_id	varchar	course_material_recent	Inherited `course_material_recent.course_id` via `SELECT *`.	1001::BIO::101	Stable identifier for the institution-level course offering.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	34	section_id	varchar	course_material_recent	Inherited `course_material_recent.section_id` via `SELECT *`.	1001::BIO::101::001::2025-4	Period-specific identifier for the distinct section offering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material_use	view	35	period_sortable	varchar	course_material_recent	Inherited `course_material_recent.period_sortable` via `SELECT *`.	2025-4	Sortable academic term code used for chronological ordering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
course_material_use	view	36	period_date	date	course_material_recent	Inherited `course_material_recent.period_date` via `SELECT *`.	2025-10-01	Canonical starting date assigned to the academic term.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	37	is_oer	boolean	course_material_recent	Inherited `course_material_recent.is_oer` via `SELECT *`.	TRUE	Whether the material is an open educational resource.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_use	view	38	oer_category	varchar	course_material_recent	Inherited `course_material_recent.oer_category` via `SELECT *`.	unknown	Open-resource category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	39	is_ia	boolean	course_material_recent	Inherited `course_material_recent.is_ia` via `SELECT *`.	TRUE	Whether the material uses inclusive access.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_use	view	40	ia_category	varchar	course_material_recent	Inherited `course_material_recent.ia_category` via `SELECT *`.	unknown	Inclusive-access category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	41	is_supply	boolean	course_material_recent	Inherited `course_material_recent.is_supply` via `SELECT *`.	TRUE	Whether the material is classified as a course supply.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
course_material_use	view	42	supply_category	varchar	course_material_recent	Inherited `course_material_recent.supply_category` via `SELECT *`.	science_lab	Supply classification assigned from matched title keywords.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	43	institution_name	varchar	course_material_recent	Inherited `course_material_recent.institution_name` via `SELECT *`.	Example University	Canonical institution name supplied by IPEDS.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	44	sector	varchar	course_material_recent	Inherited `course_material_recent.sector` via `SELECT *`.	unknown	IPEDS sector classification for the institution.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	45	level	varchar	course_material_recent	Inherited `course_material_recent.level` via `SELECT *`.	unknown	IPEDS award-level classification for the institution.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	46	control	varchar	course_material_recent	Inherited `course_material_recent.control` via `SELECT *`.	unknown	Institution ownership and governance classification used for reporting.	Neither the section-canonical value nor representative source row has a value.
course_material_use	view	47	size	varchar	course_material_recent	Inherited `course_material_recent.size` via `SELECT *`.	unknown	IPEDS institutional enrollment-size classification used for reporting.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	48	enrollment_2024	integer	course_material_recent	Inherited `course_material_recent.enrollment_2024` via `SELECT *`.	42	Total institutional enrollment reported to IPEDS for 2024.	The selected representative row has no value; another grouped row may have one.
course_material_use	view	49	distance_enrollment_2024	integer	course_material_recent	Inherited `course_material_recent.distance_enrollment_2024` via `SELECT *`.	42	IPEDS 2024 students enrolled in distance education.	The selected representative row has no value; another grouped row may have one.
