relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
master_course	view	1	course_id	varchar	master_section	`master_section.course_id` group key.	1001::BIO::101	Stable identifier for the institution-level course offering.	Not produced.
master_course	view	2	period_sortable	varchar	master_section	`master_section.period_sortable` group key.	2025-4	Sortable academic term code used for chronological ordering.	Not produced.
master_course	view	3	period	varchar	master_section	`ANY_VALUE(master_section.period)` by course-term.	Fall 2025	Human-readable academic term label from the source.	No section has a nonmissing value.
master_course	view	4	period_date	date	master_section	`ANY_VALUE(master_section.period_date)` by course-term.	2025-10-01	Canonical starting date assigned to the academic term.	No section has a nonmissing value.
master_course	view	5	unit_id	bigint	master_section	`ANY_VALUE(master_section.unit_id)` by course-term.	1001	IPEDS institution identifier used throughout the pipeline.	No section has a nonmissing value.
master_course	view	6	state	varchar	master_section	`ANY_VALUE(master_section.state)` by course-term.	CA	State or province code for the institution.	No section has a nonmissing value.
master_course	view	7	control	varchar	master_section	`ANY_VALUE(master_section.control)` by course-term.	unknown	Institution ownership and governance classification used for reporting.	No section has a nonmissing value.
master_course	view	8	level	varchar	master_section	`ANY_VALUE(master_section.level)` by course-term.	unknown	IPEDS award-level classification for the institution.	No section has a nonmissing value.
master_course	view	9	size	varchar	master_section	`ANY_VALUE(master_section.size)` by course-term.	unknown	IPEDS institutional enrollment-size classification used for reporting.	No section has a nonmissing value.
master_course	view	10	sector	varchar	master_section	`ANY_VALUE(master_section.sector)` by course-term.	unknown	IPEDS sector classification for the institution.	No section has a nonmissing value.
master_course	view	11	institution_name	varchar	master_section	`ANY_VALUE(master_section.institution_name)` by course-term.	Example University	Canonical institution name supplied by IPEDS.	No section has a nonmissing value.
master_course	view	12	institution_type	varchar	master_section	`ANY_VALUE(master_section.institution_type)` by course-term.	unknown	Derived institution type used for reporting groups.	No section has a nonmissing value.
master_course	view	13	enrollment_2024	integer	master_section	`ANY_VALUE(master_section.enrollment_2024)` by course-term.	42	Total institutional enrollment reported to IPEDS for 2024.	No section has a nonmissing value.
master_course	view	14	distance_enrollment_2024	integer	master_section	`ANY_VALUE(master_section.distance_enrollment_2024)` by course-term.	42	IPEDS 2024 students enrolled in distance education.	No section has a nonmissing value.
master_course	view	15	school	varchar	master_section	`mode(master_section.school)` by course-term.	Example University	Institution or school name attached to the course.	No section has a nonmissing value.
master_course	view	16	department	varchar	master_section	`mode(master_section.department)` by course-term.	Biology	Academic department responsible for the course.	No section has a nonmissing value.
master_course	view	17	course_number	varchar	master_section	`mode(master_section.course_number)` by course-term.	101	Catalog number identifying the course within its department.	No section has a nonmissing value.
master_course	view	18	course_title	varchar	master_section	`mode(master_section.course_title)` by course-term.	Introduction to Biology	Official title assigned to the course.	No section has a nonmissing value.
master_course	view	19	course_level	varchar	master_section	`mode(master_section.course_level)` by course-term.	Introductory or general undergraduate	Instructional level assigned to the course.	No section has a nonmissing value.
master_course	view	20	course_subject	varchar	master_section	`mode(master_section.course_subject)` by course-term.	BIO	Subject area assigned to the course.	No section has a nonmissing value.
master_course	view	21	section_count	bigint	master_section	`COUNT(DISTINCT section_id)` over `master_section`.	42	Distinct material-bearing sections within the aggregation group.	Never NULL for a retained group.
master_course	view	22	enrollment_total	hugeint	master_section	`SUM(master_section.enrollments)` over `master_section`. Uses raw `master_section.enrollments`, without imputation.	42	Reported enrollment summed across the course sections.	No contributing nonmissing values.
master_course	view	23	seats_taken_total	hugeint	master_section	`SUM(seats_taken)` over `master_section`.	42	Reported occupied seats summed across course sections.	No contributing nonmissing values.
master_course	view	24	total_materials	hugeint	master_section	`SUM(material_count)` over `master_section`.	42	Canonical materials summed across all course sections.	Never NULL for a retained group.
master_course	view	25	total_required	hugeint	master_section	`SUM(required_count)` over `master_section`.	42	Required materials summed across all course sections.	Never NULL for a retained group.
master_course	view	26	total_optional	hugeint	master_section	`SUM(optional_count)` over `master_section`.	42	Optional materials summed across all course sections.	Never NULL for a retained group.
master_course	view	27	is_oer	boolean	master_section	`COALESCE(BOOL_OR(is_oer), FALSE)` over `master_section`.	TRUE	Whether the material is an open educational resource.	Never NULL for a retained group.
