relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
master_institution	table	1	period_sortable	varchar	master_section	Institution-rollup group key from `master_section.period_sortable`.	2025-4	Sortable academic term code used for chronological ordering.	`unit_id` is NULL for the explicit unmatched-institution bucket; period is required.
master_institution	table	2	unit_id	bigint	master_section	Institution-rollup group key from `master_section.unit_id`.	1001	IPEDS institution identifier used throughout the pipeline.	`unit_id` is NULL for the explicit unmatched-institution bucket; period is required.
master_institution	table	3	state	varchar	master_section	`ANY_VALUE(master_section.state)`; IPEDS attributes are institution-grain.	CA	State or province code for the institution.	No matching IPEDS/source institution value.
master_institution	table	4	control	varchar	master_section	`ANY_VALUE(master_section.control)`; IPEDS attributes are institution-grain.	unknown	Institution ownership and governance classification used for reporting.	No matching IPEDS/source institution value.
master_institution	table	5	level	varchar	master_section	`ANY_VALUE(master_section.level)`; IPEDS attributes are institution-grain.	unknown	IPEDS award-level classification for the institution.	No matching IPEDS/source institution value.
master_institution	table	6	size	varchar	master_section	`ANY_VALUE(master_section.size)`; IPEDS attributes are institution-grain.	unknown	IPEDS institutional enrollment-size classification used for reporting.	No matching IPEDS/source institution value.
master_institution	table	7	institution_name	varchar	master_section	`ANY_VALUE(master_section.institution_name)`; IPEDS attributes are institution-grain.	Example University	Canonical institution name supplied by IPEDS.	No matching IPEDS/source institution value.
master_institution	table	8	institution_type	varchar	master_section	`ANY_VALUE(master_section.institution_type)`; IPEDS attributes are institution-grain.	unknown	Derived institution type used for reporting groups.	No matching IPEDS/source institution value.
master_institution	table	9	enrollment_2024	integer	master_section	`ANY_VALUE(master_section.enrollment_2024)`; IPEDS attributes are institution-grain.	42	Total institutional enrollment reported to IPEDS for 2024.	No matching IPEDS/source institution value.
master_institution	table	10	distance_enrollment_2024	integer	master_section	`ANY_VALUE(master_section.distance_enrollment_2024)`; IPEDS attributes are institution-grain.	42	IPEDS 2024 students enrolled in distance education.	No matching IPEDS/source institution value.
master_institution	table	11	bookstore_url	varchar	master_section	Most frequent nonblank `master_section.bookstore_url` for the same term×institution; lexical tie-break.	https://bookstore.example.edu/item/123	Bookstore URL chosen from material-bearing sections.	No nonblank section URL, or unit_id is NULL.
master_institution	table	12	section_count	bigint	master_section	`COUNT(*)` across material-bearing sections.	42	Distinct material-bearing sections within the aggregation group.	Never NULL; zero means no qualifying section/course.
master_institution	table	13	advanced_graduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Advanced graduate')`.	42	Sections classified as advanced graduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	14	advanced_graduate_directed_study_and_research_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Advanced graduate/ directed study and research')`.	42	Sections classified as advanced graduate directed study and research.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	15	advanced_undergraduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Advanced undergraduate')`.	42	Sections classified as advanced undergraduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	16	advanced_undergraduate_graduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Advanced undergraduate/ graduate')`.	42	Sections classified as advanced undergraduate or graduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	17	general_graduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'General graduate')`.	42	Sections classified as general graduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	18	intermediate_undergraduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Intermediate undergraduate')`.	42	Sections classified as intermediate undergraduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	19	introductory_or_general_undergraduate_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Introductory or general undergraduate')`.	42	Sections classified as introductory or general undergraduate.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	20	non_degree_credit_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Non-degree credit')`.	42	Sections classified as non-degree credit.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	21	uncategorized_section_count	bigint	master_section	`COUNT(*) FILTER (WHERE course_level = 'Uncategorized')`.	42	Sections classified as an uncategorized course level.	Never NULL; zero means no section in this exact course-level category.
master_institution	table	22	course_count	bigint	master_section	`COUNT(DISTINCT course_id)` across material-bearing sections.	42	Distinct courses represented by the institution-period group.	Never NULL; zero means no qualifying section/course.
master_institution	table	23	material_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `material_count > 0`.	42	Institution sections containing at least one material.	Never NULL; zero means no qualifying section/course.
master_institution	table	24	required_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying supply-aware `master_section.is_required_direct`.	42	Institution sections with direct required-status evidence.	Never NULL; zero means no qualifying section/course.
master_institution	table	25	inferred_required_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `required_count > 0`.	42	Institution sections containing inferred-required materials.	Never NULL; zero means no qualifying section/course.
master_institution	table	26	optional_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `optional_count > 0`.	42	Institution sections containing optional materials.	Never NULL; zero means no qualifying section/course.
master_institution	table	27	supply_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `supply_count > 0` sidecar evidence.	42	Institution sections with classified supply evidence.	Never NULL; zero means no qualifying section/course.
master_institution	table	28	oer_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `oer_count > 0`.	42	Institution sections containing open-resource materials.	Never NULL; zero means no qualifying section/course.
master_institution	table	29	ia_section_count	bigint	master_section	`COUNT(*) FILTER` over sections satisfying `ia_count > 0`.	42	Institution sections containing inclusive-access materials.	Never NULL; zero means no qualifying section/course.
