relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
master_isbn	table	1	period_sortable	varchar	master_material	`master_material.period_sortable` group key.	2025-4	Sortable academic term code used for chronological ordering.	Not produced.
master_isbn	table	2	isbn13	bigint	master_material	`master_material.isbn13` group key.	9780000000002	Book or material identifier used for cross-source matching.	Not produced.
master_isbn	table	3	book_title	varchar	master_material	`ANY_VALUE(master_material.isbn_book_title)`; term×ISBN metadata is canonical upstream.	Introduction to Biology	Canonical title selected for the grouped ISBN.	No nonmissing canonical ISBN metadata.
master_isbn	table	4	author	varchar	master_material	`ANY_VALUE(master_material.isbn_author)`; term×ISBN metadata is canonical upstream.	A. Example	Author credited for the adopted course material.	No nonmissing canonical ISBN metadata.
master_isbn	table	5	publisher	varchar	master_material	`ANY_VALUE(master_material.isbn_publisher)`; term×ISBN metadata is canonical upstream.	Example Press	Publisher credited for the adopted course material.	No nonmissing canonical ISBN metadata.
master_isbn	table	6	is_oer	boolean	master_material	`COALESCE(BOOL_OR(master_material.is_oer), FALSE)`.	TRUE	Whether the material is an open educational resource.	Never NULL; false means no canonical ISBN row has the classification.
master_isbn	table	7	is_ia	boolean	master_material	`COALESCE(BOOL_OR(master_material.is_ia), FALSE)`.	TRUE	Whether the material uses inclusive access.	Never NULL; false means no canonical ISBN row has the classification.
master_isbn	table	8	is_supply	boolean	master_material	Constant FALSE: supplies are excluded from the canonical Use population.	FALSE	Whether the material is classified as a course supply.	Never NULL.
master_isbn	table	9	unit_id_count	bigint	master_material	`COUNT(DISTINCT unit_id)`.	42	Distinct institutions using the ISBN during the term.	Never NULL; zero means all values of that key are missing.
master_isbn	table	10	section_id_count	bigint	master_material	`COUNT(DISTINCT section_id)`.	42	Distinct sections using the ISBN during the term.	Never NULL; zero means all values of that key are missing.
master_isbn	table	11	course_id_count	bigint	master_material	`COUNT(DISTINCT course_id)`.	42	Distinct courses using the ISBN during the term.	Never NULL; zero means all values of that key are missing.
master_isbn	table	12	has_enrollment	boolean	master_material	`COALESCE(BOOL_OR(enrollment_assigned IS NOT NULL), FALSE)`.	TRUE	Whether usable enrollment information is available.	Never NULL; false means no occurrence has assigned enrollment.
master_isbn	table	13	enroll_cnt	bigint	master_material	`COUNT(DISTINCT section_id) FILTER (WHERE enrollment_assigned IS NOT NULL)`.	42	ISBN-using sections having an assigned enrollment value.	Never NULL; zero means none has assigned enrollment.
master_isbn	table	14	enroll_tot	hugeint	master_material	`COALESCE(SUM(enrollment_assigned), 0)` across ISBN occurrences.	42	Assigned enrollment summed across all ISBN-using sections.	Never NULL; zero means no assigned enrollment or assigned total zero.
master_isbn	table	15	title_variant_count	bigint	master_material	`ANY_VALUE(master_material.isbn_title_variant_count)`.	42	Distinct title variants found within grouped catalog rows.	Not expected; upstream count is non-NULL.
master_isbn	table	16	author_variant_count	bigint	master_material	`ANY_VALUE(master_material.isbn_author_variant_count)`.	42	Distinct author variants found within grouped catalog rows.	Not expected; upstream count is non-NULL.
master_isbn	table	17	publisher_variant_count	bigint	master_material	`ANY_VALUE(master_material.isbn_publisher_variant_count)`.	42	Distinct publisher variants found within grouped catalog rows.	Not expected; upstream count is non-NULL.
master_isbn	table	18	metadata_conflict	boolean	master_material	True when any title/author/publisher variant count exceeds one.	TRUE	Flags conflicting canonical bibliographic values for the ISBN.	Never NULL; false means no detected canonical metadata conflict.
master_isbn	table	19	required_price_min	decimal(38,2)	master_material	`SUM(master_material.price_min) FILTER (WHERE is_required_inferred)`.	12.34	Lower all-offer price bound for required materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	20	required_price_max	decimal(38,2)	master_material	`SUM(master_material.price_max) FILTER (WHERE is_required_inferred)`.	12.34	Upper all-offer price bound for required materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	21	required_price_buy_min	decimal(38,2)	master_material	`SUM(master_material.price_buy_min) FILTER (WHERE is_required_inferred)`.	12.34	Lower buy-only price bound for required materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	22	required_price_buy_max	decimal(38,2)	master_material	`SUM(master_material.price_buy_max) FILTER (WHERE is_required_inferred)`.	12.34	Upper buy-only price bound for required materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	23	all_price_min	decimal(38,2)	master_material	`SUM(master_material.price_min)`.	12.34	Lower all-offer price bound for all-item materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	24	all_price_max	decimal(38,2)	master_material	`SUM(master_material.price_max)`.	12.34	Upper all-offer price bound for all-item materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
master_isbn	table	25	all_price_buy_min	decimal(38,2)	master_material	`SUM(master_material.price_buy_min)`.	12.34	Lower buy-only price bound for all-item materials.	All qualifying occurrence values are missing; individual NULLs are ignored and genuine zero is retained.
