relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
master_material	table	1	isbn13	bigint	course_material_use	`course_material_use.isbn13` passthrough.	9780000000002	Book or material identifier used for cross-source matching.	Never NULL; every retained source Use row requires an ISBN.
master_material	table	2	book_title	varchar	course_material_use	`course_material_use.book_title` passthrough.	Introduction to Biology	Canonical title selected for the grouped ISBN.	The selected representative row has no value; another grouped row may have one.
master_material	table	3	author	varchar	course_material_use	`course_material_use.author` passthrough.	A. Example	Author credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
master_material	table	4	publisher	varchar	course_material_use	`course_material_use.publisher` passthrough.	Example Press	Publisher credited for the adopted course material.	The selected representative row has no value; another grouped row may have one.
master_material	table	5	imprint	varchar	course_material_use	`course_material_use.imprint` passthrough.	Example Academic	Publishing imprint named for the adopted material.	The selected representative row has no value; another grouped row may have one.
master_material	table	6	book_format	varchar	course_material_use	`course_material_use.book_format` passthrough.	physical	Physical or digital format of the material.	The selected representative row has no value; another grouped row may have one.
master_material	table	7	format_type	varchar	course_material_use	`course_material_use.format_type` passthrough.	Book	Catalog classification label for the material format.	The selected representative row has no value; another grouped row may have one.
master_material	table	8	book_status	varchar	course_material_use	`course_material_use.book_status` passthrough.	required	Adoption priority assigned to the course material.	The selected representative row has no value; another grouped row may have one.
master_material	table	9	isbn_book_title	varchar	course_material_use	`course_material_use.isbn_book_title` passthrough.	Introduction to Biology	Canonical title selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
master_material	table	10	isbn_author	varchar	course_material_use	`course_material_use.isbn_author` passthrough.	A. Example	Canonical author selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
master_material	table	11	isbn_publisher	varchar	course_material_use	`course_material_use.isbn_publisher` passthrough.	Example Press	Canonical publisher selected for the term-level ISBN.	No nonmissing metadata value for the term×ISBN.
master_material	table	12	isbn_title_variant_count	bigint	course_material_use	`course_material_use.isbn_title_variant_count` passthrough.	42	Distinct ISBN title variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
master_material	table	13	isbn_author_variant_count	bigint	course_material_use	`course_material_use.isbn_author_variant_count` passthrough.	42	Distinct ISBN author variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
master_material	table	14	isbn_publisher_variant_count	bigint	course_material_use	`course_material_use.isbn_publisher_variant_count` passthrough.	42	Distinct ISBN publisher variants found within grouped catalog rows.	Never NULL; zero means no nonmissing value.
master_material	table	15	unit_id	bigint	course_material_use	`course_material_use.unit_id` passthrough.	1001	IPEDS institution identifier used throughout the pipeline.	The selected representative row has no value; another grouped row may have one.
master_material	table	16	school	varchar	course_material_use	`course_material_use.school` passthrough.	Example University	Institution or school name attached to the course.	The selected representative row has no value; another grouped row may have one.
master_material	table	17	state	varchar	course_material_use	`course_material_use.state` passthrough.	CA	State or province code for the institution.	The selected representative row has no value; another grouped row may have one.
master_material	table	18	dept_code	varchar	course_material_use	`course_material_use.dept_code` passthrough.	BIO	Short code identifying the academic department.	The selected representative row has no value; another grouped row may have one.
master_material	table	19	department	varchar	course_material_use	`course_material_use.department` passthrough.	Biology	Academic department responsible for the course.	The selected representative row has no value; another grouped row may have one.
master_material	table	20	dept_description	varchar	course_material_use	`course_material_use.dept_description` passthrough.	Biology	Expanded description of the academic department.	The selected representative row has no value; another grouped row may have one.
master_material	table	21	course_number	varchar	course_material_use	`course_material_use.course_number` passthrough.	101	Catalog number identifying the course within its department.	The selected representative row has no value; another grouped row may have one.
master_material	table	22	section	varchar	course_material_use	`course_material_use.section` passthrough.	001	Source code distinguishing sections of the same course.	The selected representative row has no value; another grouped row may have one.
master_material	table	23	course_title	varchar	course_material_use	`course_material_use.course_title` passthrough.	Introduction to Biology	Official title assigned to the course.	The selected representative row has no value; another grouped row may have one.
master_material	table	24	course_level	varchar	course_material_use	`course_material_use.course_level` passthrough.	Introductory or general undergraduate	Instructional level assigned to the course.	Neither the section-canonical value nor representative source row has a value.
master_material	table	25	course_subject	varchar	course_material_use	`course_material_use.course_subject` passthrough.	BIO	Subject area assigned to the course.	The selected representative row has no value; another grouped row may have one.
master_material	table	26	period	varchar	course_material_use	`course_material_use.period` passthrough.	Fall 2025	Human-readable academic term label from the source.	The selected representative row has no value; another grouped row may have one.
master_material	table	27	enrollments	integer	course_material_use	`course_material_use.enrollments` passthrough.	42	Enrollment reported directly for the course section.	Neither the section-canonical value nor representative source row has a value.
master_material	table	28	seats_taken	integer	course_material_use	`course_material_use.seats_taken` passthrough.	42	Occupied seats reported for the course section.	Neither the section-canonical value nor representative source row has a value.
master_material	table	29	instructor	varchar	course_material_use	`course_material_use.instructor` passthrough.	A. Example	Instructor name attached to the course section.	The selected representative row has no value; another grouped row may have one.
master_material	table	30	first_name	varchar	course_material_use	`course_material_use.first_name` passthrough.	A. Example	Given name of the course instructor.	The selected representative row has no value; another grouped row may have one.
master_material	table	31	last_name	varchar	course_material_use	`course_material_use.last_name` passthrough.	A. Example	Family name of the course instructor.	The selected representative row has no value; another grouped row may have one.
master_material	table	32	email	varchar	course_material_use	`course_material_use.email` passthrough.	instructor@example.edu	Normalized instructor email used for contact and matching.	The selected representative row has no value; another grouped row may have one.
master_material	table	33	course_id	varchar	course_material_use	`course_material_use.course_id` passthrough.	1001::BIO::101	Stable identifier for the institution-level course offering.	Neither the section-canonical value nor representative source row has a value.
master_material	table	34	section_id	varchar	course_material_use	`course_material_use.section_id` passthrough.	1001::BIO::101::001::2025-4	Period-specific identifier for the distinct section offering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
master_material	table	35	period_sortable	varchar	course_material_use	`course_material_use.period_sortable` passthrough.	2025-4	Sortable academic term code used for chronological ordering.	ISBN is NULL only on audit groups; section and sortable-period keys are required.
master_material	table	36	period_date	date	course_material_use	`course_material_use.period_date` passthrough.	2025-10-01	Canonical starting date assigned to the academic term.	The selected representative row has no value; another grouped row may have one.
master_material	table	37	is_oer	boolean	course_material_use	`course_material_use.is_oer` passthrough.	TRUE	Whether the material is an open educational resource.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
master_material	table	38	oer_category	varchar	course_material_use	`course_material_use.oer_category` passthrough.	unknown	Open-resource category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
master_material	table	39	is_ia	boolean	course_material_use	`course_material_use.is_ia` passthrough.	TRUE	Whether the material uses inclusive access.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
master_material	table	40	ia_category	varchar	course_material_use	`course_material_use.ia_category` passthrough.	unknown	Inclusive-access category assigned to the material format.	The selected representative row has no value; another grouped row may have one.
master_material	table	41	is_supply	boolean	course_material_use	`course_material_use.is_supply` passthrough.	TRUE	Whether the material is classified as a course supply.	Never NULL under the normalized row-flag contract; false means no grouped row qualifies.
master_material	table	42	supply_category	varchar	course_material_use	`course_material_use.supply_category` passthrough.	science_lab	Supply classification assigned from matched title keywords.	The selected representative row has no value; another grouped row may have one.
