relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
pricing_historical	table	1	unit_id	integer	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `IPEDSID`; trim and TRY_CAST to the declared type; latest logical-key snapshot retained after duplicate/instructor collapse.	1001	IPEDS institution identifier used throughout the pipeline.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	2	institute	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Institute`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	Example University	Institution name supplied by the pricing source.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	3	bookstore_url	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Address`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	https://bookstore.example.edu/item/123	Bookstore page providing the observed material prices.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	4	pricing_date	timestamp	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Book Pricing Date`; trim and TRY_CAST to the declared type; latest logical-key snapshot retained after duplicate/instructor collapse.	2025-10-01 12:00:00	Timestamp of the retained pricing source snapshot.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	5	period	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Period`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	Fall 2025	Human-readable academic term label from the source.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	6	dept_code	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Department Code`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	BIO	Short code identifying the academic department.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	7	dept_name	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Department Name`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	Biology	Department name supplied by the pricing source.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	8	course_code	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Course Code`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	101	Course code supplied by the pricing source.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	9	section_code	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `Section Code`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	001	Section code supplied by the pricing source.	External field absent, a configured null token, or failed TRY_CAST.
pricing_historical	table	10	crn	varchar	BMG BookPricing.Historical_20260224.csv	BMG Book Pricing field `CRN`; trim; latest logical-key snapshot retained after duplicate/instructor collapse.	12345	Registration number identifying the source course section.	External field absent, a configured null token, or failed TRY_CAST.
