relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
sample_section_us_intro_fall2025	view	1	section_id	varchar	master_section	Inherited `master_section.section_id` via `SELECT *`.	1001::BIO::101::001::2025-4	Period-specific identifier for the distinct section offering.	Never NULL
sample_section_us_intro_fall2025	view	2	course_id	varchar	master_section	Inherited `master_section.course_id` via `SELECT *`.	1001::BIO::101	Stable identifier for the institution-level course offering.	Missing segments are `UNKNOWN`
sample_section_us_intro_fall2025	view	3	period	varchar	master_section	Inherited `master_section.period` via `SELECT *`.	Fall 2025	Human-readable academic term label from the source.	Valid sortable period required
sample_section_us_intro_fall2025	view	4	period_sortable	varchar	master_section	Inherited `master_section.period_sortable` via `SELECT *`.	2025-4	Sortable academic term code used for chronological ordering.	Never NULL; required by the sample filter.
sample_section_us_intro_fall2025	view	5	period_date	date	master_section	Inherited `master_section.period_date` via `SELECT *`.	2025-10-01	Canonical starting date assigned to the academic term.	Not NULL in retained scope
sample_section_us_intro_fall2025	view	6	unit_id	bigint	master_section	Inherited `master_section.unit_id` via `SELECT *`.	1001	IPEDS institution identifier used throughout the pipeline.	Missing institution ID
sample_section_us_intro_fall2025	view	7	state	varchar	master_section	Inherited `master_section.state` via `SELECT *`.	CA	State or province code for the institution.	Never NULL; SQL `NOT IN ('CAN', '')` excludes NULL and the exact values `''` and `CAN` without trimming.
sample_section_us_intro_fall2025	view	8	control	varchar	master_section	Inherited `master_section.control` via `SELECT *`.	unknown	Institution ownership and governance classification used for reporting.	No matching IPEDS institution
sample_section_us_intro_fall2025	view	9	level	varchar	master_section	Inherited `master_section.level` via `SELECT *`.	unknown	IPEDS award-level classification for the institution.	No matching IPEDS institution
sample_section_us_intro_fall2025	view	10	size	varchar	master_section	Inherited `master_section.size` via `SELECT *`.	unknown	IPEDS institutional enrollment-size classification used for reporting.	No matching IPEDS institution
sample_section_us_intro_fall2025	view	11	sector	varchar	master_section	Inherited `master_section.sector` via `SELECT *`.	unknown	IPEDS sector classification for the institution.	No matching IPEDS institution
sample_section_us_intro_fall2025	view	12	institution_name	varchar	master_section	Inherited `master_section.institution_name` via `SELECT *`.	Example University	Canonical institution name supplied by IPEDS.	No matching IPEDS institution
sample_section_us_intro_fall2025	view	13	institution_type	varchar	master_section	Inherited `master_section.institution_type` via `SELECT *`.	unknown	Derived institution type used for reporting groups.	No matching institution/type
sample_section_us_intro_fall2025	view	14	enrollment_2024	integer	master_section	Inherited `master_section.enrollment_2024` via `SELECT *`.	42	Total institutional enrollment reported to IPEDS for 2024.	No matching IPEDS value
sample_section_us_intro_fall2025	view	15	distance_enrollment_2024	integer	master_section	Inherited `master_section.distance_enrollment_2024` via `SELECT *`.	42	IPEDS 2024 students enrolled in distance education.	No matching IPEDS value
sample_section_us_intro_fall2025	view	16	school	varchar	master_section	Inherited `master_section.school` via `SELECT *`.	Example University	Institution or school name attached to the course.	No source value
