relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
section_enrollment	table	1	section_id	varchar	course_catalog_20251215	Group key from `course_catalog_20251215.section_id`.	1001::BIO::101::001::2025-4	Period-specific identifier for the distinct section offering.	Missing catalog descriptor; section and sortable-period keys are required.
section_enrollment	table	2	unit_id	bigint	course_catalog_20251215	`ANY_VALUE(course_catalog_20251215.unit_id)` for the section.	1001	IPEDS institution identifier used throughout the pipeline.	Missing catalog descriptor; section and sortable-period keys are required.
section_enrollment	table	3	course_id	varchar	course_catalog_20251215	`ANY_VALUE(course_catalog_20251215.course_id)` for the section.	1001::BIO::101	Stable identifier for the institution-level course offering.	Missing catalog descriptor; section and sortable-period keys are required.
section_enrollment	table	4	period_sortable	varchar	course_catalog_20251215	`ANY_VALUE(course_catalog_20251215.period_sortable)` for the section.	2025-4	Sortable academic term code used for chronological ordering.	Missing catalog descriptor; section and sortable-period keys are required.
section_enrollment	table	5	course_level	varchar	course_catalog_20251215	Lexical `mode(course_catalog_20251215.course_level ORDER BY course_level)` for the section.	Introductory or general undergraduate	Instructional level assigned to the course.	Missing catalog descriptor; section and sortable-period keys are required.
section_enrollment	table	6	enrollments	integer	course_catalog_20251215	`MAX(course_catalog_20251215.enrollments)` for the section; raw 9999 seats sentinel retained.	42	Enrollment reported directly for the course section.	No reported enrollments.
section_enrollment	table	7	seats_taken	integer	course_catalog_20251215	`MAX(course_catalog_20251215.seats_taken)` for the section; raw 9999 seats sentinel retained.	42	Occupied seats reported for the course section.	No reported seats taken.
section_enrollment	table	8	has_enrollment	boolean	course_catalog_20251215, recent_period	`enrollments IS NOT NULL`.	TRUE	Whether usable enrollment information is available.	Never NULL; false means the signal is absent.
section_enrollment	table	9	has_enrollment_sibling	boolean	course_catalog_20251215, recent_period	`(course_enroll_sections - CASE WHEN has_enrollment THEN 1 ELSE 0 END) > 0`, where `course_enroll_sections = SUM(CASE WHEN has_enrollment THEN 1 ELSE 0 END)` per `(course_id, period_sortable)`.	TRUE	Whether a sibling section reports enrollment.	Never NULL; false means the signal is absent.
section_enrollment	table	10	has_enrollment_own_seats	boolean	course_catalog_20251215, recent_period	`seats_taken IS NOT NULL AND seats_taken < 9999`.	TRUE	Whether the section reports usable occupied seats.	Never NULL; false means the signal is absent.
section_enrollment	table	11	has_enrollment_sibling_seats	boolean	course_catalog_20251215, recent_period	`(course_seats_sections - CASE WHEN has_enrollment_own_seats THEN 1 ELSE 0 END) > 0`, where `course_seats_sections = SUM(CASE WHEN has_enrollment_own_seats THEN 1 ELSE 0 END)` per `(course_id, period_sortable)`.	TRUE	Whether a sibling section reports usable occupied seats.	Never NULL; false means the signal is absent.
