kind	pattern	category	precision_est	notes
include	lab notebook	science_lab	0.97	Physical carbonless/spiral student lab notebooks (chem/orgo/engineering). Multi-word, no collision with 'notebook' computers. One borderline 'Organic Chemistry I Lab Manual / Lab Notebook' but still a physical book.
include	goggle	science_lab	0.97	Safety/chemical-splash goggles (Uvex, Encon, Pyramex, etc). 40 sampled all supplies. Tiny risk: children's book 'Goggles!' (Ezra Jack Keats) not observed among matches.
include	lab coat	science_lab	0.99	Unisex/Dickies/Tyvek lab coats, rentals, vouchers, info-only lines. Space-delimited multi-word; no book collisions.
include	glove	science_lab	0.98	Welding/nitrile/exam/cut-resistant/fire gloves. One collision: author 'Glover' (WebAssign for Glover's Power System), 1 title/8 rows — negligible.
include	safety glass	science_lab	1	100% safety glasses/eyewear. 'safety glass' substring covers all 'safety glasses' matches identically (same 34/570/39). No chemistry-glassware collision.
include	stethoscope	science_lab	0.96	Littmann/MDF stethoscopes, BP kits. One book collision: 'Other End of the Stethoscope' (15 rows). 24/25 sampled titles are supplies.
include	nitrile	science_lab	1	100% nitrile exam/disposable gloves. Redundant with 'glove' (every nitrile title also contains glove) but clean; kept for robustness.
include	dissecting kit	science_lab	1	McCoy/intermediate dissecting kits. Narrowed from bare 'dissecting' to avoid 'Dissecting the Hack' book.
include	dissection kit	science_lab	1	Brain/heart/organ/precision dissection kits. Narrowed from bare 'dissection' which collides with anatomy lab manuals.
include	apron	science_lab	0.95	Physical aprons (chemical-resistant, art/painting, culinary/bistro, Blick >supply<). Cross-category (also art/culinary) but all genuine supplies; no book collisions observed.
include	lab jacket	science_lab	1	Physical lab jackets by size. Equivalent to lab coat; no collisions.
include	dissecting set	science_lab	1	'DELUXE DISSECTING SET', 'Dissecting Set/ General Biology' — physical kits.
include	face shield	science_lab	1	Coverall/CPR/forestry face shields — all PPE supplies.
include	microscope slide	science_lab	1	Carolina prepared slides box, blank slides + cover glass. Multi-word; bare 'microscope' excluded (book + lab-kit collisions).
include	x-acto	art_drafting	1	X-Acto hobby knives/blades/kits, all supplies. Use HYPHENATED form; bare 'xacto' catches 'Exacto!' (Spanish textbook).
include	drawing pencil	art_drafting	0.99	Semi-hex/Ebony/General's/Staedtler/Tombow drawing pencils + sets. No book collisions.
include	kneaded eraser	art_drafting	1	Art kneaded erasers + required-supply lists. Distinctive, no collisions.
include	drawing pad	art_drafting	1	Strathmore/Blick drawing paper pads. No book collisions.
include	sketch pad	art_drafting	0.98	Physical sketch pads (XL/Strathmore/Canson/Blick). Clean — unlike 'sketchbook' which hits the Fashion Sketchbook textbook family.
include	canvas panel	art_drafting	1	Blick/Winsor canvas panels. No collisions.
include	canvas pad	art_drafting	1	Blick Canvas Pad. Single title, clean.
include	sharpie	art_drafting	0.89	Sharpie markers/highlighters (supplies). Collision: 'Stolen Sharpie Revolution' (DIY zine book), 2 title entries.
include	graphite	art_drafting	0.95	Graphite pencils/sticks/crayons. Only non-art match is Samsung Galaxy Tab in graphite COLOR (still a physical supply, no textbook collision).
include	charcoal	art_drafting	0.94	Art charcoal sticks/pencils/kits + apparel/uniform in charcoal color (all physical supplies). One book collision: 'Old Testament Handbook / Charcoal Cloth over Board' (binding-color descriptor) — watch journaling-Bible scaling risk.
